symbol,companyName,primaryExchange,sector,calculationPrice,open,openTime,close,closeTime,high,low,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,iexRealtimePrice,iexRealtimeSize,iexLastUpdated,delayedPrice,delayedPriceTime,extendedPrice,extendedChange,extendedChangePercent,extendedPriceTime,previousClose,change,changePercent,iexMarketPercent,iexVolume,avgTotalVolume,iexBidPrice,iexBidSize,iexAskPrice,iexAskSize,marketCap,peRatio,week52High,week52Low,ytdChange
VGM,Invesco Trust for Investment Grade Municipals (DE),New York Stock Exchange,Financial Services,close,12.57,1528291800851,12.52,1528315578142,12.57,12.52,12.52,Close,"June 6, 2018",1528315578142,48860,12.535,100,1528314467129,12.52,1528315578142,12.4,-0.12,-0.00958,1527192615467,12.59,-0.07,-0.00556,0.00614,300,120656,0,0,0,0,678900706,,13.8,12.09,-0.021104851745277143
VGR,Vector Group Ltd.,New York Stock Exchange,Consumer Defensive,close,19.52,1528291800910,19.45,1528315260573,19.53,19.25,19.45,Close,"June 6, 2018",1528315260573,588278,19.435,99,1528315140039,19.45,1528315260573,19.45,0,0,1528317007780,19.54,-0.09,-0.00461,0.01254,7377,658965,0,0,0,0,2613407497,36.7,23.135,18.695238,-0.11728727155072594
VGSH,Vanguard Short-Term Treasury ETF,NASDAQ Global Market,,close,59.8,1528291800482,59.8,1528315200594,59.81,59.79,59.8,Close,"June 6, 2018",1528315200594,289720,59.8,100,1528314594599,59.8,1528315200594,59.8,0,0,1528315496436,59.82,-0.02,-0.00033,0.0143,4143,529002,0,0,0,0,2550321457,,60.93,59.7,-0.00270315780081816
VGZ,Vista Gold Corp,NYSE American,Basic Materials,close,0.7,1528291800013,0.6721,1528315200046,0.7,0.672,0.6721,Close,"June 6, 2018",1528315200046,249361,0,0,0,0.6721,1528315800001,0.7,0.0279,0.04151,1528205175746,0.686,-0.0139,-0.02026,0,0,84951,0,0,0,0,66900800,-6.72,0.97,0.6025,-0.08053397260273963
VHC,VirnetX Holding Corp,NYSE American,Technology,close,3.6,1528291800014,3.5,1528315200052,3.6,3.5,3.5,Close,"June 6, 2018",1528315200052,192373,3.575,100,1528297911204,3.5,1528315800000,3.5,0,0,1528317007819,3.6,-0.1,-0.02778,0.00236,454,541616,0,0,0,0,215061403,,8.7485,2.1,-0.08041157894736836
VHI,Valhi Inc.,New York Stock Exchange,Basic Materials,close,5.95,1528291852365,5.9,1528315225117,5.97,5.78,5.9,Close,"June 6, 2018",1528315225117,243419,5.895,35,1528315179761,5.9,1528315225117,5.9,0,0,1528317007830,5.95,-0.05,-0.0084,0.04065,9895,280426,0,0,0,0,2001108599,,9.24,2.13,-0.0441657964250409
VIA,Viacom Inc.,Nasdaq Global Select,Consumer Cyclical,close,32.1,1528291800169,32.15,1528315200263,32.5,31.85,32.15,Close,"June 6, 2018",1528315200263,42553,32.45,200,1528313760389,32.15,1528315200263,31.75,-0.4,-0.01244,1528142410672,32,0.15,0.00469,0.0047,200,34570,0,0,0,0,12937318853,,42.55,28.2,-0.06961174870185285
VIAB,Viacom Inc.,Nasdaq Global Select,Consumer Cyclical,close,27.17,1528291800184,27.69,1528315200180,27.71,26.94,27.69,Close,"June 6, 2018",1528315200180,3689170,27.68,200,1528315199003,27.69,1528315200240,27.69,0,0,1528317713000,27.07,0.62,0.0229,0.03398,125358,3691872,0,0,0,0,9621170501,7.36,36.96,22.13,-0.10386855979715998
VIAV,Viavi Solutions Inc.,Nasdaq Global Select,Technology,close,9.82,1528291800700,9.8,1528315200524,9.865,9.74,9.8,Close,"June 6, 2018",1528315200524,2164184,9.8,200,1528315194262,9.8,1528315200524,9.8,0,0,1528317007852,9.84,-0.04,-0.00407,0.04283,92692,2371519,0,0,0,0,2217891096,32.67,11.78,8.34,0.09414428571428558
VICI,VICI Properties Inc.,New York Stock Exchange,Real Estate,close,20.07,1528291872426,19.98,1528315239424,20.24,19.93,19.98,Close,"June 6, 2018",1528315239424,2287869,19.995,50,1528315168568,19.98,1528315239424,19.98,0,0,1528316996357,20.11,-0.13,-0.00646,0.02844,65067,3295954,0,0,0,0,7395208109,,22.99,17.58,0.0027741664157382847
