,,EPSReportDate,EPSSurpriseDollar,actualEPS,announceTime,consensusEPS,estimatedChangePercent,estimatedEPS,fiscalEndDate,fiscalPeriod,numberOfEstimates,symbolId,yearAgo,yearAgoChangePercent
PRTK,-2q,2018-03-01,-0.06,-0.78,,-0.72,0.3793103448275862,-0.72,2017-12-31,Q4 2017,4,6928,-1.16,0.32758620689655166
PRTK,-3q,2017-11-08,0.16,-0.77,BTO,-0.93,0.10576923076923075,-0.93,2017-09-30,Q3 2017,6,6928,-1.04,0.25961538461538464
PRTK,-4q,2017-08-02,0.25,-0.64,BTO,-0.89,0.47337278106508873,-0.89,2017-06-30,Q2 2017,5,6928,-1.69,0.621301775147929
PRTO,-1q,2018-05-09,0.01,-0.34,,-0.35,0.10256410256410266,-0.35,2018-03-31,Q1 2018,4,9273,-0.39,0.12820512820512817
PRTO,-2q,2018-03-14,0.06,-0.31,,-0.37,0.11904761904761903,-0.37,2017-12-31,Q4 2017,1,9273,-0.42,0.26190476190476186
PRTO,-3q,2017-11-07,-0.68,-1.08,,-0.4,0.06976744186046505,-0.4,2017-09-30,Q3 2017,5,9273,-0.43,-1.5116279069767444
PRTO,-4q,2017-08-07,0.12,-0.33,BTO,-0.45,0.062499999999999944,-0.45,2017-06-30,Q2 2017,6,9273,-0.48,0.31249999999999994
PRTS,-1q,2018-05-08,,0.02,AMC,0.02,,0.02,2018-03-31,Q1 2018,1,5582,0.02,
PRTS,-2q,2018-03-08,0.01,,AMC,-0.01,,-0.01,2017-12-31,Q4 2017,1,5582,-0.01,
PRTS,-3q,2017-10-30,0.01,0.02,AMC,0.01,,0.01,2017-09-30,Q3 2017,1,5582,,
PRTS,-4q,2017-08-10,,0.02,BTO,0.02,,0.02,2017-06-30,Q2 2017,1,5582,0.02,
PRTY,-1q,2018-05-09,0.05,0.07,BTO,0.02,-0.3333333333333333,0.02,2018-03-31,Q1 2018,3,8983,0.03,1.3333333333333337
PRTY,-2q,2018-03-09,,0.8,BTO,0.8,0.06666666666666672,0.8,2017-12-31,Q4 2017,6,8983,0.75,0.06666666666666672
PRTY,-3q,2017-11-09,,0.13,BTO,0.13,0.18181818181818185,0.13,2017-09-30,Q3 2017,5,8983,0.11,0.18181818181818185
PRTY,-4q,2017-08-02,0.02,0.28,BTO,0.26,0.13043478260869565,0.26,2017-06-30,Q2 2017,5,8983,0.23,0.21739130434782614
PRU,-1q,2018-05-02,0.09,3.08,AMC,2.99,0.07168458781362014,2.99,2018-03-31,Q1 2018,7,5583,2.79,0.10394265232974911
PRU,-2q,2018-02-07,0.09,2.69,AMC,2.6,0.05691056910569111,2.6,2017-12-31,Q4 2017,6,5583,2.46,0.09349593495934959
PRU,-3q,2017-11-01,0.3,3.01,AMC,2.71,0.01879699248120294,2.71,2017-09-30,Q3 2017,6,5583,2.66,0.1315789473684209
PRU,-4q,2017-08-02,-0.61,2.09,AMC,2.7,0.4673913043478261,2.7,2017-06-30,Q2 2017,6,5583,1.84,0.13586956521739119
PSA,-1q,2018-04-25,0.02,2.48,AMC,2.46,0.05128205128205133,2.46,2018-03-31,Q1 2018,8,5587,2.34,0.05982905982905989
PSA,-2q,2018-02-20,0.03,2.75,AMC,2.72,0.02641509433962275,2.72,2017-12-31,Q4 2017,9,5587,2.65,0.03773584905660381
PSA,-3q,2017-10-25,0.01,2.61,AMC,2.6,0.035856573705179404,2.6,2017-09-30,Q3 2017,11,5587,2.51,0.039840637450199244
PSA,-4q,2017-07-26,-0.25,2.31,AMC,2.56,0.0940170940170941,2.56,2017-06-30,Q2 2017,10,5587,2.34,-0.012820512820512739
PSB,-1q,2018-04-24,0.09,1.59,AMC,1.5,-0.013157894736842117,1.5,2018-03-31,Q1 2018,2,5599,1.52,0.04605263157894741
PSB,-2q,2018-02-20,-0.01,1.52,BTO,1.53,0.10071942446043175,1.53,2017-12-31,Q4 2017,3,5599,1.39,0.09352517985611519
PSB,-3q,2017-10-24,0.01,1.54,AMC,1.53,0.06993006993006999,1.53,2017-09-30,Q3 2017,3,5599,1.43,0.076923076923077
PSB,-4q,2017-07-25,0.03,1.55,AMC,1.52,0.11764705882352934,1.52,2017-06-30,Q2 2017,3,5599,1.36,0.13970588235294112
PSDO,-1q,2018-05-10,-0.03,0.01,AMC,0.04,-0.8181818181818181,0.04,2018-03-31,Q3 2018,1,12447,0.22,-0.9545454545454545
PSDO,-2q,2018-02-08,-0.02,0.11,AMC,0.13,,0.13,2017-12-31,Q2 2018,1,12447,,
PSDO,-3q,2017-11-06,0.05,0.21,AMC,0.16,,0.16,2017-09-30,Q1 2018,1,12447,,
PSDO,-4q,2017-09-21,-0.05,0.11,AMC,0.16,,0.16,2017-06-30,Q4 2017,1,12447,,
PSEC,-1q,2018-05-09,0.01,0.19,AMC,0.18,-0.10000000000000009,0.18,2018-03-31,Q3 2018,2,5617,0.2,-0.050000000000000044
PSEC,-2q,2018-02-07,0.02,0.2,AMC,0.18,-0.25,0.18,2017-12-31,Q2 2018,2,5617,0.24,-0.1666666666666666
PSEC,-3q,2017-11-08,-0.01,0.18,AMC,0.19,-0.13636363636363635,0.19,2017-09-30,Q1 2018,2,5617,0.22,-0.18181818181818185
PSEC,-4q,2017-08-28,-0.01,0.19,AMC,0.2,-0.23076923076923075,0.2,2017-06-30,Q4 2017,3,5617,0.26,-0.2692307692307693
PSMT,-1q,2018-04-05,,0.89,AMC,0.89,-0.01111111111111112,0.89,2018-02-28,Q2 2018,1,5627,0.9,-0.01111111111111112
PSMT,-2q,2018-01-04,-0.08,0.74,AMC,0.82,,0.82,2017-11-30,Q1 2018,1,5627,0.82,-0.09756097560975606
PSMT,-3q,2017-10-26,-0.06,0.64,AMC,0.7,-0.054054054054054106,0.7,2017-08-31,Q4 2017,2,5627,0.74,-0.13513513513513511
PSMT,-4q,2017-07-05,-0.07,0.62,AMC,0.69,0.25454545454545435,0.69,2017-05-31,Q3 2017,1,5627,0.55,0.12727272727272718
PSO,-1q,2018-02-23,,,,,,,2017-12-31,Q4 2017,,5628,,
PSO,-2q,2017-02-24,,,,,,,2016-12-31,Q4 2016,,5628,,
PSO,-3q,2016-03-24,,,,,,,2015-12-31,Q4 2015,,5628,,
PSO,-4q,2015-04-03,,,,,,,2014-12-31,Q4 2014,,5628,,
PSTG,-1q,2018-05-21,0.02,-0.28,AMC,-0.3,,-0.3,2018-04-30,Q1 2019,4,10498,-0.3,0.06666666666666654
PSTG,-2q,2018-03-01,0.09,-0.05,AMC,-0.14,0.33333333333333326,-0.14,2018-01-31,Q4 2018,4,10498,-0.21,0.7619047619047619
PSTG,-3q,2017-11-28,0.03,-0.2,AMC,-0.23,0.04166666666666659,-0.23,2017-10-31,Q3 2018,4,10498,-0.24,0.1666666666666666
PSTG,-4q,2017-08-24,0.02,-0.29,AMC,-0.31,,-0.31,2017-07-31,Q2 2018,5,10498,-0.31,0.06451612903225812
PSTI,-1q,2018-05-10,0.08,-0.01,,-0.09,,-0.09,2018-03-31,Q3 2018,2,5634,-0.09,0.888888888888889
PSTI,-2q,2018-04-04,,,,,,,2017-12-31,Q2 2018,1,5634,-0.08,
PSTI,-3q,2017-11-07,0.01,-0.08,,-0.09,-0.12499999999999993,-0.09,2017-09-30,Q1 2018,2,5634,-0.08,
PSTI,-4q,2017-09-07,,-0.07,,-0.07,,-0.07,2017-06-30,Q4 2017,1,5634,,
PSX,-1q,2018-04-27,0.13,1.04,BTO,0.91,0.6249999999999999,0.91,2018-03-31,Q1 2018,9,5637,0.56,0.857142857142857
PSX,-2q,2018-02-02,0.21,1.07,BTO,0.86,4.375,0.86,2017-12-31,Q4 2017,9,5637,0.16,5.6875
PSX,-3q,2017-10-27,0.04,1.66,BTO,1.62,0.5428571428571429,1.62,2017-09-30,Q3 2017,10,5637,1.05,0.5809523809523808
PSX,-4q,2017-08-01,0.07,1.09,BTO,1.02,0.08510638297872349,1.02,2017-06-30,Q2 2017,10,5637,0.94,0.15957446808510653
PSXP,-1q,2018-04-27,0.04,0.87,BTO,0.83,0.3833333333333333,0.83,2018-03-31,Q1 2018,9,5638,0.6,0.45000000000000007
PSXP,-2q,2018-02-02,-0.04,0.83,BTO,0.87,0.3384615384615384,0.87,2017-12-31,Q4 2017,7,5638,0.65,0.2769230769230768
PSXP,-3q,2017-10-27,-0.08,0.51,BTO,0.59,0.03508771929824565,0.59,2017-09-30,Q3 2017,7,5638,0.57,-0.10526315789473675
PSXP,-4q,2017-08-01,-0.11,0.61,BTO,0.72,0.41176470588235287,0.72,2017-06-30,Q2 2017,8,5638,0.51,0.19607843137254896
PTC,-1q,2018-04-18,0.04,0.2,AMC,0.16,0.3333333333333334,0.16,2018-03-31,Q2 2018,6,5499,0.12,0.6666666666666669
PTC,-2q,2018-01-17,0.03,0.2,AMC,0.17,0.7000000000000001,0.17,2017-12-31,Q1 2018,5,5499,0.1,1.0
PTC,-3q,2017-10-25,-0.01,0.23,AMC,0.24,1.0,0.24,2017-09-30,Q4 2017,6,5499,0.12,0.9166666666666669
PTC,-4q,2017-07-19,-0.03,0.14,AMC,0.17,-0.1052631578947368,0.17,2017-06-30,Q3 2017,2,5499,0.19,-0.26315789473684204
PTCT,-1q,2018-05-09,0.03,-0.46,AMC,-0.49,0.4235294117647059,-0.49,2018-03-31,Q1 2018,2,5640,-0.85,0.4588235294117647
PTCT,-2q,2018-03-06,-0.03,0.03,AMC,0.06,1.076923076923077,0.06,2017-12-31,Q4 2017,2,5640,-0.78,1.0384615384615385
PTCT,-3q,2017-11-02,-0.01,-0.67,AMC,-0.66,0.3592233009708738,-0.66,2017-09-30,Q3 2017,4,5640,-1.03,0.3495145631067961
PTCT,-4q,2017-08-08,0.45,-0.44,AMC,-0.89,0.21929824561403502,-0.89,2017-06-30,Q2 2017,2,5640,-1.14,0.6140350877192983
PTEN,-1q,2018-04-26,-0.07,-0.16,BTO,-0.09,0.7857142857142857,-0.09,2018-03-31,Q1 2018,11,5642,-0.42,0.6190476190476191
PTEN,-2q,2018-02-08,-0.02,-0.1,BTO,-0.08,0.8490566037735849,-0.08,2017-12-31,Q4 2017,11,5642,-0.53,0.8113207547169812
PTEN,-3q,2017-10-26,0.01,-0.16,BTO,-0.17,0.7068965517241378,-0.17,2017-09-30,Q3 2017,12,5642,-0.58,0.7241379310344827
PTEN,-4q,2017-07-27,0.07,-0.21,BTO,-0.28,0.5172413793103448,-0.28,2017-06-30,Q2 2017,9,5642,-0.58,0.6379310344827587
PTGX,-1q,2018-05-09,-0.12,-0.36,,-0.24,0.7142857142857143,-0.24,2018-03-31,Q1 2018,2,11604,-0.84,0.5714285714285714
PTGX,-2q,2018-03-07,0.21,-0.15,AMC,-0.36,0.46268656716417916,-0.36,2017-12-31,Q4 2017,1,11604,-0.67,0.7761194029850746
PTGX,-3q,2017-11-06,0.66,-0.29,,-0.95,-0.0919540229885057,-0.95,2017-09-30,Q3 2017,1,11604,-0.87,0.6666666666666667
PTGX,-4q,2017-08-08,0.03,-0.89,,-0.92,0.9517566858940744,-0.92,2017-06-30,Q2 2017,1,11604,-19.07,0.9533298374410067
PTI,-1q,2018-05-09,0.19,-0.32,,-0.51,0.14999999999999997,-0.51,2018-03-31,Q1 2018,2,10964,-0.6,0.4666666666666666
PTI,-2q,2018-03-14,0.14,-0.51,,-0.65,-0.7105263157894737,-0.65,2017-12-31,Q4 2017,3,10964,-0.38,-0.34210526315789475
PTI,-3q,2017-11-14,0.07,-0.56,,-0.63,-0.1666666666666666,-0.63,2017-09-30,Q3 2017,3,10964,-0.54,-0.03703703703703707
PTI,-4q,2017-08-04,-0.07,-0.68,,-0.61,-0.29787234042553196,-0.61,2017-06-30,Q2 2017,3,10964,-0.47,-0.4468085106382981
PTIE,-1q,2018-05-09,,-0.33,,,,,2018-03-31,Q1 2018,,5646,-0.42,0.21428571428571422
PTIE,-2q,2018-02-05,,-0.37,,,,,2017-12-31,Q4 2017,,5646,-0.42,0.11904761904761903
PTIE,-3q,2017-11-01,,-0.4,,,,,2017-09-30,Q3 2017,,5646,-0.56,0.28571428571428575
PTIE,-4q,2017-08-09,,-0.64,,,,,2017-06-30,Q2 2017,,5646,-0.49,-0.3061224489795919
PTLA,-1q,2018-05-09,0.24,-1.28,AMC,-1.52,-1.0540540540540542,-1.52,2018-03-31,Q1 2018,3,5648,-0.74,-0.7297297297297298
PTLA,-2q,2018-02-28,0.11,-1.41,AMC,-1.52,-0.6000000000000001,-1.52,2017-12-31,Q4 2017,3,5648,-0.95,-0.4842105263157895
PTLA,-3q,2017-11-06,0.04,-1.41,AMC,-1.45,0.11585365853658534,-1.45,2017-09-30,Q3 2017,3,5648,-1.64,0.14024390243902438
PTLA,-4q,2017-08-09,-0.12,-1.22,AMC,-1.1,-0.07843137254901968,-1.1,2017-06-30,Q2 2017,3,5648,-1.02,-0.19607843137254896
PTN,-1q,2018-05-15,0.04,,BTO,-0.04,-1.0,-0.04,2018-03-31,Q3 2018,1.0,5650,-0.02,
PTN,-2q,2018-02-12,,0.01,BTO,,,,2017-12-31,Q2 2018,,5650,-0.06,1.1666666666666665
PTN,-3q,2017-11-13,-0.01,0.05,BTO,0.06,1.7500000000000002,0.06,2017-09-30,Q1 2018,1.0,5650,-0.08,1.625
PTN,-4q,2017-09-25,0.05,0.07,BTO,0.02,1.2222222222222223,0.02,2017-06-30,Q4 2017,1.0,5650,-0.09,1.777777777777778
PTNR,-1q,2018-05-31,,0.02,BTO,,,,2018-03-31,,,5651,0.09,-0.7777777777777777
PTNR,-2q,2018-03-29,,-0.08,BTO,,,,2017-12-31,,,5651,-0.01,-7.000000000000001
PTNR,-3q,2017-11-21,,0.09,BTO,,,,2017-09-30,,,5651,0.03,2.0
PTNR,-4q,2017-08-16,,0.06,BTO,,,,2017-06-30,,,5651,0.04,0.4999999999999999
PTR,-1q,2018-04-27,,0.94,,,,,2018-03-31,Q1 2018,,5654,0.44,1.1363636363636362
PTR,-2q,2018-03-29,,,,,,,2017-12-31,Q4 2017,1.0,5654,0.83,
PTR,-3q,2017-10-30,-0.01,0.45,,0.46,6.666666666666667,0.46,2017-09-30,Q3 2017,1.0,5654,0.06,6.500000000000001
PTR,-4q,2017-08-24,0.18,0.57,,0.39,-0.688,0.39,2017-06-30,Q2 2017,1.0,5654,1.25,-0.544
PTSI,-1q,2018-04-30,,0.22,,,,,2018-03-31,Q1 2018,,5656,0.36,-0.38888888888888884
PTSI,-2q,2018-02-15,,0.28,,,,,2017-12-31,Q4 2017,,5656,0.11,1.5454545454545459
PTSI,-3q,2017-10-23,0.28,0.54,,0.26,-0.5094339622641509,0.26,2017-09-30,Q3 2017,1.0,5656,0.53,0.018867924528301903
PTSI,-4q,2017-07-27,-0.07,0.25,,0.32,-0.47540983606557374,0.32,2017-06-30,Q2 2017,1.0,5656,0.61,-0.5901639344262295
PTX,-1q,2018-05-10,,-1.57,AMC,,,,2018-03-31,,,5658,-2.94,0.4659863945578231
PTX,-2q,2018-03-08,,-2.78,AMC,,,,2017-12-31,Q4 2017,,5658,-3.86,0.2797927461139897
PTX,-3q,2017-11-07,,-0.57,AMC,,,,2017-09-30,,,5658,-2.73,0.7912087912087913
PTX,-4q,2017-07-27,,-2.16,AMC,,,,2017-06-30,,,5658,-4.9,0.5591836734693878
PTY,-1q,2015-09-02,,,,,,,2015-05-31,Q2 2015,,5659,-0.23,
PTY,-2q,2015-06-02,,,,,,,2015-02-28,Q1 2015,,5659,-0.21,
PTY,-3q,2015-03-04,,,,,,,2014-11-30,Q4 2014,,5659,0.37,
PTY,-4q,2014-12-03,,,,,,,2014-08-31,Q3 2014,,5659,1.31,
PUB,-1q,2018-04-25,0.01,0.49,AMC,0.48,0.3333333333333333,0.48,2018-03-31,Q1 2018,3,9932,0.36,0.36111111111111116
PUB,-2q,2018-01-24,0.05,0.43,AMC,0.38,0.05555555555555561,0.38,2017-12-31,Q4 2017,3,9932,0.36,0.19444444444444448
PUB,-3q,2017-10-25,0.01,0.37,AMC,0.36,0.058823529411764594,0.36,2017-09-30,Q3 2017,2,9932,0.34,0.08823529411764697
PUB,-4q,2017-07-26,0.01,0.35,AMC,0.34,0.09677419354838718,0.34,2017-06-30,Q2 2017,2,9932,0.31,0.12903225806451607
PUK,-1q,2018-03-13,,,,,,,2017-12-31,Q4 2017,,5661,0.404,
PUK,-2q,2017-03-14,,,,,,,2016-12-31,Q4 2016,,5661,,
PUK,-3q,2016-03-08,,,,,,,2015-12-31,Q4 2015,,5661,,
PUK,-4q,2015-03-10,,,,,,,2014-12-31,Q4 2014,,5661,,
PULM,-1q,2018-05-11,-0.06,-0.24,,-0.18,0.14285714285714285,-0.18,2018-03-31,Q1 2018,2,8116,-0.21,-0.14285714285714285
PULM,-2q,2018-03-16,,,,,,,2017-12-31,Q4 2017,2,8116,,
PULM,-3q,2017-11-09,0.08,-0.22,,-0.3,-0.42857142857142855,-0.3,2017-09-30,Q3 2017,1,8116,-0.21,-0.047619047619047665
PULM,-4q,2017-08-04,0.01,-0.29,,-0.3,0.5161290322580645,-0.3,2017-06-30,Q2 2017,1,8116,-0.62,0.5322580645161291
PUMP,-1q,2018-05-08,0.04,0.42,AMC,0.38,1.8837209302325584,0.38,2018-03-31,Q1 2018,7,12471,-0.43,1.9767441860465116
PUMP,-2q,2018-03-26,-0.27,0.12,AMC,0.39,,0.39,2017-12-31,Q4 2017,6,12471,,
PUMP,-3q,2017-11-01,0.05,0.25,AMC,0.2,,0.2,2017-09-30,Q3 2017,3,12471,,
PUMP,-4q,2017-08-08,0.02,0.06,AMC,0.04,,0.04,2017-06-30,Q2 2017,3,12471,,
PVAC,-1q,2018-05-09,0.41,1.47,AMC,1.06,0.3947368421052632,1.06,2018-03-31,Q1 2018,3,12232,0.76,0.9342105263157894
PVAC,-2q,2018-03-01,0.12,1.06,,0.94,1.2926829268292683,0.94,2017-12-31,Q4 2017,3,12232,0.41,1.585365853658537
PVAC,-3q,2017-11-08,0.04,0.57,AMC,0.53,,0.53,2017-09-30,Q3 2017,2,12232,,
PVAC,-4q,2017-08-08,0.08,0.69,AMC,0.61,,0.61,2017-06-30,Q2 2017,2,12232,,
PVBC,-1q,2018-04-19,,0.22,,,,,2018-03-31,,,10306,0.2,0.09999999999999995
PVBC,-2q,2018-01-25,,0.41,,,,,2017-12-31,,,10306,0.19,1.157894736842105
PVBC,-3q,2017-10-19,,0.3,,,,,2017-09-30,,,10306,0.19,0.5789473684210525
PVBC,-4q,2017-07-20,,0.17,,,,,2017-06-30,,,10306,0.15,0.13333333333333347
PVG,-1q,2018-05-10,-0.05,0.03,,0.08,5.0,0.08,2018-03-31,Q1 2018,2,5668,-0.02,2.5
PVG,-2q,2018-03-08,0.06,0.07,,0.01,1.25,0.01,2017-12-31,Q4 2017,2,5668,-0.04,2.7500000000000004
PVG,-3q,2017-11-10,-0.09,0.05,,0.14,8.0,0.14,2017-09-30,Q3 2017,2,5668,-0.02,3.5000000000000004
PVG,-4q,2017-08-10,0.05,-0.01,BTO,-0.06,-1.0,-0.06,2017-06-30,Q2 2017,1,5668,-0.03,0.6666666666666666
PVH,-1q,2018-05-30,0.11,2.36,AMC,2.25,0.3636363636363637,2.25,2018-04-30,Q1 2019,8,5669,1.65,0.4303030303030303
PVH,-2q,2018-03-28,0.1,1.58,AMC,1.48,0.2032520325203252,1.48,2018-01-31,Q4 2018,8,5669,1.23,0.28455284552845533
PVH,-3q,2017-11-29,0.11,3.02,AMC,2.91,0.11923076923076925,2.91,2017-10-31,Q3 2018,7,5669,2.6,0.1615384615384615
PVH,-4q,2017-08-23,0.04,1.69,AMC,1.65,0.12244897959183669,1.65,2017-07-31,Q2 2018,9,5669,1.47,0.1496598639455782
PVTL,-1q,2018-06-12,0.03,-0.15,AMC,-0.18,,-0.18,2018-04-30,Q1 2019,5,14402,,
PW,-1q,2018-06-28,,,,,,,2018-03-31,,,5676,,
PW,-2q,2018-03-29,,,,,,,2017-12-31,Q4 2017,,5676,,
PW,-3q,2018-01-01,,,,,,,2017-09-30,Q3 2017,,5676,,
PW,-4q,2017-10-05,,,,,,,2017-06-30,Q2 2017,,5676,,
PWOD,-1q,2018-04-19,,0.69,,,,,2018-03-31,,,5681,0.54,0.27777777777777757
PWOD,-2q,2018-01-30,,0.71,,,,,2017-12-31,,,5681,0.56,0.2678571428571427
PWOD,-3q,2017-10-20,,0.66,,,,,2017-09-30,,,5681,0.61,0.08196721311475418
PWOD,-4q,2017-07-20,,0.66,,,,,2017-06-30,,,5681,0.65,0.015384615384615398
PWR,-1q,2018-05-03,0.06,0.32,BTO,0.26,-0.23529411764705885,0.26,2018-03-31,Q1 2018,6,5682,0.34,-0.058823529411764754
PWR,-2q,2018-02-22,0.01,0.4,BTO,0.39,-0.25,0.39,2017-12-31,Q4 2017,7,5682,0.52,-0.23076923076923075
PWR,-3q,2017-11-02,0.04,0.59,BTO,0.55,0.07843137254901968,0.55,2017-09-30,Q3 2017,8,5682,0.51,0.15686274509803913
PWR,-4q,2017-08-03,-0.04,0.46,BTO,0.5,2.571428571428571,0.5,2017-06-30,Q2 2017,8,5682,0.14,2.2857142857142856
PX,-1q,2018-04-26,0.09,1.65,BTO,1.56,0.13868613138686126,1.56,2018-03-31,Q1 2018,8,5687,1.37,0.20437956204379545
PX,-2q,2018-01-25,0.04,1.52,BTO,1.48,0.04964539007092203,1.48,2017-12-31,Q4 2017,8,5687,1.41,0.07801418439716319
PX,-3q,2017-10-26,0.06,1.5,BTO,1.44,0.02127659574468087,1.44,2017-09-30,Q3 2017,9,5687,1.41,0.06382978723404262
PX,-4q,2017-07-27,0.03,1.46,BTO,1.43,0.028776978417266216,1.43,2017-06-30,Q2 2017,9,5687,1.39,0.050359712230215875
PXD,-1q,2018-05-02,0.15,1.66,AMC,1.51,5.04,1.51,2018-03-31,Q1 2018,17,5688,0.25,5.64
PXD,-2q,2018-02-06,0.46,1.22,AMC,0.76,0.5510204081632654,0.76,2017-12-31,Q4 2017,16,5688,0.49,1.489795918367347
PXD,-3q,2017-11-01,0.18,0.48,AMC,0.3,1.3076923076923075,0.3,2017-09-30,Q3 2017,19,5688,0.13,2.692307692307692
PXD,-4q,2017-08-01,0.1,0.21,AMC,0.11,1.5,0.11,2017-06-30,Q2 2017,18,5688,-0.22,1.9545454545454546
PXLW,-1q,2018-05-02,0.04,-0.03,AMC,-0.07,-1.777777777777778,-0.07,2018-03-31,Q1 2018,2,5697,0.09,-1.3333333333333333
PXLW,-2q,2018-02-15,0.01,-0.04,AMC,-0.05,-6.0,-0.05,2017-12-31,Q4 2017,3,5697,0.01,-5.0
PXLW,-3q,2017-11-07,0.06,0.01,AMC,-0.05,-0.25000000000000006,-0.05,2017-09-30,Q3 2017,3,5697,-0.04,1.25
PXLW,-4q,2017-08-08,0.02,0.07,AMC,0.05,1.8333333333333335,0.05,2017-06-30,Q2 2017,3,5697,-0.06,2.166666666666667
PXS,-1q,2018-05-14,-0.3,-0.1,BTO,0.2,3.2222222222222228,0.2,2018-03-31,Q1 2018,1.0,10733,-0.09,-0.11111111111111122
PXS,-2q,2018-03-15,,-0.08,BTO,,,,2017-12-31,,,10733,-0.32,0.75
PXS,-3q,2017-11-09,,-0.07,AMC,,,,2017-09-30,,,10733,-0.08,0.12499999999999993
PXS,-4q,2017-08-10,,-0.04,,,,,2017-06-30,,,10733,0.02,-3.0
PYDS,-1q,2018-05-15,,-0.05,AMC,,,,2018-03-31,,,10392,-0.03,-0.6666666666666669
PYDS,-2q,2018-03-29,,-0.13,AMC,,,,2017-12-31,,,10392,-0.03,-3.3333333333333335
PYDS,-3q,2017-11-14,,-0.1,,,,,2017-09-30,Q3 2017,,10392,-0.07,-0.4285714285714285
PYDS,-4q,2017-08-14,-0.02,-0.06,,-0.04,0.20000000000000004,-0.04,2017-06-30,Q2 2017,1.0,10392,-0.05,-0.1999999999999999
PYPL,-1q,2018-04-25,0.04,0.45,AMC,0.41,0.13888888888888887,0.41,2018-03-31,Q1 2018,10,10260,0.36,0.25000000000000006
PYPL,-2q,2018-01-31,0.02,0.4,AMC,0.38,0.11764705882352934,0.38,2017-12-31,Q4 2017,12,10260,0.34,0.1764705882352941
PYPL,-3q,2017-10-19,0.02,0.34,AMC,0.32,0.10344827586206906,0.32,2017-09-30,Q3 2017,12,10260,0.29,0.17241379310344845
PYPL,-4q,2017-07-26,0.03,0.36,AMC,0.33,0.10000000000000009,0.33,2017-06-30,Q2 2017,12,10260,0.3,0.2
PZC,-1q,2015-10-02,,,,,,,2015-06-30,Q2 2015,,5719,-0.46,
PZC,-2q,2015-07-03,,,,,,,2015-03-31,Q1 2015,,5719,0.18,
PZC,-3q,2015-04-03,,,,,,,2014-12-31,Q4 2014,,5719,0.24,
PZC,-4q,2015-01-02,,,,,,,2014-09-30,Q3 2014,,5719,0.88,
PZG,-1q,2018-04-05,,,,,,,2017-12-31,Q2 2018,,9878,,
PZG,-2q,2017-10-06,,,,,,,2017-06-30,Q4 2017,,9878,-0.32,
PZG,-3q,2017-07-06,,,,,,,2017-03-31,Q3 2017,1.0,9878,,
PZG,-4q,2017-02-09,-0.04,-0.12,,-0.08,,-0.08,2016-12-31,Q2 2017,1.0,9878,,
PZN,-1q,2018-04-19,0.01,0.2,AMC,0.19,0.5833333333333334,0.19,2018-03-31,Q1 2018,1,5724,0.12,0.6666666666666669
PZN,-2q,2018-02-06,0.02,0.19,AMC,0.17,0.13333333333333347,0.17,2017-12-31,Q4 2017,1,5724,0.15,0.2666666666666667
PZN,-3q,2017-10-17,0.02,0.17,AMC,0.15,0.25,0.15,2017-09-30,Q3 2017,1,5724,0.12,0.4166666666666668
PZN,-4q,2017-07-18,0.03,0.15,AMC,0.12,0.1999999999999999,0.12,2017-06-30,Q2 2017,1,5724,0.1,0.4999999999999999
PZZA,-1q,2018-05-08,-0.12,0.5,AMC,0.62,-0.19480519480519484,0.62,2018-03-31,Q1 2018,3,5726,0.77,-0.35064935064935066
PZZA,-2q,2018-02-27,-0.03,0.65,AMC,0.68,-0.014492753623188259,0.68,2017-12-31,Q4 2017,3,5726,0.69,-0.05797101449275352
PZZA,-3q,2017-10-31,0.01,0.6,BTO,0.59,0.03508771929824565,0.59,2017-09-30,Q3 2017,2,5726,0.57,0.052631578947368474
PZZA,-4q,2017-08-01,0.02,0.65,AMC,0.63,0.03278688524590167,0.63,2017-06-30,Q2 2017,1,5726,0.61,0.06557377049180334
QADA,-1q,2018-05-30,0.1,0.06,AMC,-0.04,0.6923076923076923,-0.04,2018-04-30,Q1 2019,2,5730,-0.13,1.4615384615384615
QADA,-2q,2018-03-21,-0.05,-0.29,AMC,-0.24,-5.0,-0.24,2018-01-31,Q4 2018,1,5730,0.06,-5.833333333333333
QADA,-3q,2017-11-21,0.03,-0.01,AMC,-0.04,-1.6666666666666667,-0.04,2017-10-31,Q3 2018,2,5730,0.06,-1.1666666666666665
QADA,-4q,2017-08-24,0.07,-0.05,AMC,-0.12,-3.0,-0.12,2017-07-31,Q2 2018,2,5730,0.06,-1.8333333333333335
QADB,-1q,2018-05-30,,0.06,AMC,,,,2018-04-30,,,5731,-0.13,1.4615384615384615
QADB,-2q,2018-03-21,,-0.29,AMC,,,,2018-01-31,,,5731,0.06,-5.833333333333333
QADB,-3q,2017-11-21,,-0.01,AMC,,,,2017-10-31,,,5731,0.06,-1.1666666666666665
QADB,-4q,2017-08-24,,-0.05,AMC,,,,2017-07-31,,,5731,0.06,-1.8333333333333335
QBAK,-1q,2018-05-08,,0.28,,,,,2018-03-31,,,5733,0.03,8.333333333333334
QBAK,-2q,2018-03-15,,0.33,,,,,2017-12-31,,,5733,-0.2,2.65
QBAK,-3q,2017-11-08,,-0.07,,,,,2017-09-30,,,5733,-0.03,-1.3333333333333337
