,,cashChange,cashFlow,costOfRevenue,currentAssets,currentCash,currentDebt,grossProfit,netIncome,operatingExpense,operatingGainsLosses,operatingIncome,operatingRevenue,reportDate,researchAndDevelopment,shareholderEquity,totalAssets,totalCash,totalDebt,totalLiabilities,totalRevenue
ABCD,-1q,-4043000,-6224000,9967000,25390000,4450000,13294000,26640000,2607000,22648000,,3992000,36607000,2018-03-31,3726000,-11557000,146905000.0,4450000,53464000,,36607000
ABCD,-2q,-3600000,23633000,11937000,35966000,8493000,5958000,26392000,30256000,20611000,,5781000,38329000,2017-12-31,3907000,-14292000,158554000.0,8493000,47799000,,38329000
ABCD,-3q,7447000,29860000,12604000,57761000,12093000,7098000,30919000,6477000,22772000,,8147000,43523000,2017-09-30,3352000,-44987000,154975000.0,12093000,69691000,,43523000
ABCD,-4q,38000,757000,11543000,29538000,4646000,23084000,28819000,5792000,21357000,,7462000,40362000,2017-06-30,3294000,-52148000,126508000.0,4646000,87298000,,40362000
ABDC,-1q,-461211,38910699,,,13421745,,,3538960,,17646820,,,2018-03-31,,157182400,291945692.0,,,,6249478
ABDC,-2q,8957471,-15864332,,,13882956,,,-13368270,,-19217699,,,2017-12-31,,157714175,310326150.0,,,152611975.0,6355943
ABDC,-3q,1122865,-18670476,,,4925485,,,-1611484,,-10584982,,,2017-09-30,,174820746,299112897.0,,,,6061059
ABDC,-4q,-917113,5265544,,,3802620,,,-5153066,,2838943,,,2017-06-30,,181275604,280064952.0,,,,6825042
ABEO,-1q,-5755000,-4082000,,134151000,132275000,,,-8463000,11214000,,-8616000,2598000,2018-03-31,8162000,169199000,175653000.0,131995000,,,2598000
ABEO,-2q,81228000,-5326000,,140592000,137750000,,,-8450000,8965000,,-8750000,215000,2017-12-31,5706000,170098000,178766000.0,137750000,,,215000
ABEO,-3q,-1782000,-6770000,,58395000,56522000,,,-5343000,5581000,,-5362000,219000,2017-09-30,3277000,89880000,95731000.0,56522000,,,219000
ABEO,-4q,-4908000,-4982000,,59268000,58304000,,,-8279000,8657000,,-8440000,217000,2017-06-30,5808000,89078000,96659000.0,58304000,,,217000
ABEV,-1q,-679103209.155,239720736.675,1349666218.62,6523468415.88,2406405342.75,992118501.69,2172256643.115,761242042.53,1025072973.795,20434937.535,1147183669.32,5281185843.975,2018-03-31,,14772379400.865,24924985493.925,2410143835.89,1351794460.83,,3521922861.735
ABEV,-2q,369398863.285,2687085026.47,1505907435.98,7461993430.0,3125324839.5,399363666.5,3030590609.535,941728446.19,1141592919.865,-10986802.69,1888997689.67,6648717051.31,2017-12-31,,13889366588.0,26219285831.5,3129460664.0,771255798.0,,4536498045.515
ABEV,-3q,-16861821.05,1442618323.32,1416753942.98,7026869089.64,2636408069.92,622349284.91,2174756412.29,70488.07,1039925036.85,16559955.1,1134831375.44,5463506598.95,2017-09-30,,14908735393.81,26241925506.07,2638879893.72,1052456740.99,,3591510355.27
ABEV,-4q,377059606.09,733233567.94,1224212835.49,6968387663.68,2640124277.21,1094089441.41,1880918831.24,608796086.68,954677826.59,3279938.86,926241004.65,4721564526.43,2017-06-30,,14445889517.79,25439942166.51,2650959929.92,1495325819.77,,3105131666.73
ABG,-1q,100000,35800000,1343800000,1326600000,4800000,697600000,197200000,40100000,124000000,,73200000,1541000000,2018-03-31,,424300000,2429400000.0,4800000,1556700000,,1541000000
ABG,-2q,1900000,23100000,1402500000,1302100000,4700000,831800000,268400000,42500000,188600000,,79800000,1670900000,2017-12-31,,394200000,2356700000.0,4700000,1694400000,,1670900000
ABG,-3q,100000,124900000,1341800000,1220700000,2800000,702600000,260300000,30700000,190600000,,69700000,1602100000,2017-09-30,,347300000,2269800000.0,2800000,1604000000,1922500000.0,1602100000
ABG,-4q,-400000,20000000,1364700000,1318000000,2700000,834900000,267100000,31900000,193600000,,73500000,1631800000,2017-06-30,,318100000,2367000000.0,2700000,1740100000,2048900000.0,1631800000
ABIL,-1q,-1620000,-1621000,1231000,6482000,1944000,,712000,34000,687000,,25000,1943000,2017-12-31,,591000,20013000.0,1944000,,,1943000
ABIL,-2q,-2427000,-2423000,563000,6561000,3564000,,-366000,-3032000,2478000,,-2844000,197000,2017-09-30,,557000,20170000.0,3564000,,,197000
ABIL,-3q,-2479000,-2626000,543000,21334000,5991000,,-508000,-3113000,2652000,,-3160000,35000,2017-06-30,,3589000,22901000.0,5991000,,,35000
