symbol,avgTotalVolume,calculationPrice,change,changePercent,close,closeTime,companyName,delayedPrice,delayedPriceTime,extendedChange,extendedChangePercent,extendedPrice,extendedPriceTime,high,iexAskPrice,iexAskSize,iexBidPrice,iexBidSize,iexLastUpdated,iexMarketPercent,iexRealtimePrice,iexRealtimeSize,iexVolume,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,low,marketCap,open,openTime,peRatio,previousClose,primaryExchange,sector,week52High,week52Low,ytdChange
AAU,111087,close,0.0048,0.00671,0.72,1530302400066,Almaden Minerals Ltd.,0.72,1530303000000,0.02,0.02778,0.74,1529069009857,0.73,0,0,0,0,0,0,0,0,0,0.72,Close,"June 29, 2018",1530302400066,140709,0.701,80380530,0.701,1530279000027,,0.7152,NYSE American,Basic Materials,1.32,0.7,-0.2942608737864078
AAV,174217,close,-0.05,-0.01587,3.1,1530302520723,Advantage Oil & Gas Ltd,3.1,1530302520723,0.003,0.00097,3.103,1530303616757,3.175,0,0,0,0,1530283974537,0.00403,3.125,100,300,3.1,Close,"June 29, 2018",1530302520723,74442,3.1,577229229,3.15,1530279001001,22.14,3.15,New York Stock Exchange,Energy,7.35,2.7,-0.3269811111111111
AAWW,263976,close,1.35,0.01919,71.7,1530302400274,Atlas Air Worldwide Holdings,71.7,1530302400274,0.4,0.00558,72.1,1530302803441,72.25,0,0,0,0,1530302395461,0.02631,71.85,8,5334,71.7,Close,"June 29, 2018",1530302400274,202737,71.25,1832780917,71.35,1530279000429,13.13,70.35,Nasdaq Global Select,Industrials,75.2911,50.65,0.2564635116479724
AAXJ,912645,close,0.95,0.01343,71.67,1530302400442,iShares MSCI All Country Asia ex Japan Index Fund,71.67,1530302400442,0.054,0.00075,71.724,1530302898583,71.85,0,0,0,0,1530302320714,0.01438,71.73,100,13422,71.67,Close,"June 29, 2018",1530302400442,933380,71.49,4271532000,71.61,1530279000301,,70.72,NASDAQ Global Market,,83.52,66.725,-0.06126450200437669
AAXN,1153571,close,-0.86,-0.01343,63.18,1530302400360,Axon Enterprise Inc.,63.18,1530302400360,0,0,63.18,1530304879000,64.956,0,0,0,0,1530302388081,0.00722,63.24,69,4505,63.18,Close,"June 29, 2018",1530302400360,623961,62.22,3682060397,64.47,1530279000742,150.43,64.04,Nasdaq Global Select,Industrials,71,20.57,1.3662310169491523
AB,322848,close,-0.15,-0.00523,28.55,1530302522016,AllianceBernstein Holding L.P. Units,28.55,1530302522016,0.45,0.01576,29,1530305262947,28.895,0,0,0,0,1530301940731,0.01199,28.525,80,3106,28.55,Close,"June 29, 2018",1530302522016,259049,28.4,2784873863,28.75,1530279001005,11.11,28.7,New York Stock Exchange,Financial Services,29.8,22.55,0.19552536134114484
ABAC,72631,close,-0.02,-0.00707,2.81,1530302400605,Renmin Tianli Group Inc.,2.81,1530302400605,-0.06,-0.02135,2.75,1530191697718,2.92,0,0,0,0,0,0,0,0,0,2.81,Close,"June 29, 2018",1530302400605,31079,2.52,28054323,2.88,1530279000809,,2.83,NASDAQ Capital Market,Consumer Defensive,4.76,1.9,9.845878136201334e-05
ABAX,314108,close,-0.09,-0.00108,83.01,1530302400456,ABAXIS Inc.,83.01,1530302400456,0,0,83.01,1530305792000,83.17,0,0,0,0,1530302394228,0.02386,83.005,100,2461,83.01,Close,"June 29, 2018",1530302400456,103143,83,1898518971,83.13,1530279000368,66.41,83.1,Nasdaq Global Select,Healthcare,83.98,43.66,0.666611269181162
ABB,1852775,close,0.32,0.01492,21.77,1530302522018,ABB Ltd,21.77,1530302522018,0,0,21.77,1530302524057,21.966,0,0,0,0,1530302387861,0.00995,21.785,2,15181,21.77,Close,"June 29, 2018",1530302522018,1525729,21.77,46343210044,21.84,1530279001003,17.01,21.45,New York Stock Exchange,Industrials,28.67,21.2155,-0.1505231355110271
ABBV,10310719,close,0.22,0.00238,92.65,1530302422163,AbbVie Inc.,92.65,1530302422163,0,0,92.65,1530305793000,94.46,0,0,0,0,1530302399990,0.02674,92.7,100,175103,92.65,Close,"June 29, 2018",1530302422163,6548355,92.56,147024381135,92.84,1530279001020,14.99,92.43,New York Stock Exchange,Healthcare,125.86,69.38,-0.03957542430051889
